iter	RMSE
127	4.215882493
128	4.215022904
129	4.208027918
130	4.206819962
131	4.205608262
132	4.203864438
133	4.198854808
134	4.196891817
135	4.196308605
136	4.19574027
137	4.195243893
138	4.191610988
139	4.185479491
140	4.184699261
141	4.183011493
142	4.178896719
143	4.177211449
144	4.175299857
145	4.17436284
146	4.173096531
147	4.167006138
148	4.164960627
149	4.161907613
150	4.160964708
151	4.159022907
152	4.156209855
153	4.154589533
154	4.153851029
155	4.151627898
156	4.150923682
157	4.148828443
158	4.144192996
159	4.143236135
160	4.138391242
161	4.134816008
162	4.131789587
163	4.129579468
164	4.128489801
165	4.125738581
166	4.12492535
167	4.122171746
168	4.120174993
169	4.119370815
170	4.116353161
171	4.112635671
172	4.111909364
173	4.111144428
174	4.108579703
175	4.104084919
176	4.102079949
177	4.099692396
178	4.096074969
179	4.093632072
180	4.091658894
181	4.090857117
182	4.088915007
183	4.085868837
184	4.083230922
185	4.082195158
186	4.081510842
187	4.078597508
188	4.077364401
189	4.076260955
190	4.075638764
191	4.073547078
192	4.071894514
193	4.071046716
194	4.06827574
195	4.067436714
196	4.066538633
197	4.065045758
198	4.064611333
199	4.064026097
200	4.06332525
201	4.060702811
202	4.060021441
203	4.057927828
204	4.055145258
205	4.053930257
206	4.052570799
207	4.049288359
208	4.048681345
209	4.045841959
210	4.044457896
211	4.04194932
212	4.039988677
213	4.039339669
214	4.037480053
215	4.037092191
216	4.036408851
217	4.034469085
218	4.032894623
219	4.032115173
220	4.03018598
221	4.028340261
222	4.027547806
223	4.025019847
224	4.024081267
225	4.023275952
226	4.022752856
227	4.022194982
228	4.021764607
229	4.021406982
230	4.020523554
231	4.019790792
232	4.018569624
233	4.017854707
234	4.016469033
235	4.016065489
236	4.015404781
237	4.013800767
238	4.013289966
239	4.012524585
240	4.011692547
241	4.010997808
242	4.010226708
243	4.009217408
244	4.006824137
245	4.006150901
246	4.004699918
247	4.003160239
248	4.002332545
249	4.001690663
250	4.000942091
251	4.000483375
252	3.998619529
253	3.997932915
254	3.99725408
255	3.99559159
256	3.994546902
257	3.993802846
258	3.993054753
259	3.992164629
260	3.991429953
261	3.990757982
262	3.989217077
263	3.988506024
264	3.986114807
265	3.984021011
266	3.982104985
267	3.980098141
268	3.979786831
269	3.978402846
270	3.977903066
271	3.977106243
272	3.976487299
273	3.97589295
274	3.974241976
275	3.973672589
276	3.971184157
277	3.970881208
278	3.970389023
279	3.969238807
280	3.9680836
281	3.966256363
282	3.96534666
283	3.964367958
284	3.963631248
285	3.96253643
286	3.961079907
287	3.9607761
288	3.960239287
289	3.95979633
290	3.958460407
291	3.958151219
292	3.955787362
293	3.954600711
294	3.953960065
295	3.953569891
296	3.952272889
297	3.951822089
298	3.95111509
299	3.949904693
300	3.949505053
301	3.948890877
302	3.948119639
303	3.947406085
304	3.94696241
305	3.945988444
306	3.94539216
307	3.943458609
308	3.942853106
309	3.94136776
310	3.94101468
311	3.940551046
312	3.940142372
313	3.939135029
314	3.937231427
315	3.936817781
316	3.935592158
317	3.934544184
318	3.933709954
319	3.932873725
320	3.932150333
321	3.931114786
322	3.930659728
323	3.930081699
324	3.929439717
325	3.927009014
326	3.925361353
327	3.924769171
328	3.924259969
329	3.923831451
330	3.922395204
331	3.921380932
332	3.920700069
333	3.91991732
334	3.919148529
335	3.9187132
336	3.918200821
337	3.917073337
338	3.916450974
339	3.915848795
340	3.913866239
341	3.913490508
342	3.912273422
343	3.911356885
344	3.910948316
345	3.909523823
346	3.909050853
347	3.908260056
348	3.907422634
349	3.907084559
350	3.906382057
351	3.905781154
352	3.904789072
353	3.904381809
354	3.902701732
355	3.901826515
356	3.90151233
357	3.901013748
358	3.900649427
359	3.900409541
360	3.89962497
361	3.898885965
362	3.896720571
363	3.895504689
364	3.894846285
365	3.894435933
366	3.893652145
367	3.89310457
368	3.892578557
369	3.890582802
370	3.889705482
371	3.889330137
372	3.888558015
373	3.887906195
374	3.887716625
375	3.887268219
376	3.886433331
377	3.885467435
378	3.885160997
379	3.884814277
380	3.884514056
381	3.88417161
382	3.883288936
383	3.882900619
384	3.882463928
385	3.881629156
386	3.88082303
387	3.879615809
388	3.87903345
389	3.877946592
390	3.877297561
391	3.876941096
392	3.876487064
393	3.876061645
394	3.87560902
395	3.875079515
396	3.874491174
397	3.874047153
398	3.873247922
399	3.872931311
400	3.872569777
401	3.872161572
402	3.87182241
403	3.871542219
404	3.871268936
405	3.868657483
406	3.867575172
407	3.867157436
408	3.866259565
409	3.865705908
410	3.864911045
411	3.864506917
412	3.863955126
413	3.862525358
414	3.861827387
415	3.861293726
416	3.860368773
417	3.859986788
418	3.859632371
419	3.859251062
420	3.8584931
421	3.858219081
422	3.857648633
423	3.857121704
424	3.856364735
425	3.855892172
426	3.855400784
427	3.854909965
428	3.854463169
429	3.85369453
430	3.85331015
431	3.85275463
432	3.852472621
433	3.852260045
434	3.851923387
435	3.851169177
436	3.850705508
437	3.850194305
438	3.849819222
439	3.849157379
440	3.848433605
441	3.846930956
442	3.844612009
443	3.844113717
444	3.843537362
445	3.843215079
446	3.842785301
447	3.842273108
448	3.841833013
449	3.84129667
450	3.840968973
451	3.840517237
452	3.839919359
453	3.839441534
454	3.838164388
455	3.837675395
456	3.837275727
457	3.836695717
458	3.835853347
459	3.835387082
460	3.835077986
461	3.834796009
462	3.834445217
463	3.833998475
464	3.833341693
465	3.832812029
466	3.832502811
467	3.831829645
468	3.831517395
469	3.830781495
470	3.830373236
471	3.829823644
472	3.829594813
473	3.828986335
474	3.828520792
475	3.827835987
476	3.827521498
477	3.827159698
478	3.826714749
479	3.826219627
480	3.825693188
481	3.824488624
482	3.824158222
483	3.823661288
484	3.823272108
485	3.822455065
486	3.822013894
487	3.821670198
488	3.821492002
489	3.820945929
490	3.820331224
491	3.820039908
492	3.819514114
493	3.819241492
494	3.818980694
495	3.818539225
496	3.817722337
497	3.816986981
498	3.816465158
499	3.816180278
500	3.815810707
501	3.814565151
502	3.813730625
503	3.81353217
504	3.812963814
505	3.811067203
506	3.810720108
507	3.810169275
508	3.809755618
509	3.809486381
510	3.809052518
511	3.808175303
512	3.807956513
513	3.807412909
514	3.806843069
515	3.806434969
516	3.805258665
517	3.804891624
518	3.804375046
519	3.803847769
520	3.803505058
521	3.803124904
522	3.802700731
523	3.80215173
524	3.80188259
525	3.801144976
526	3.800395334
527	3.799880329
528	3.799468704
529	3.798898945
530	3.797568254
531	3.79714997
532	3.796648554
533	3.796185363
534	3.795640069
535	3.795169021
536	3.794773568
537	3.794254646
538	3.793699963
539	3.792565379
540	3.792306267
541	3.791629373
542	3.791299492
543	3.790630281
544	3.79035802
545	3.790116569
546	3.789784275
547	3.789423135
548	3.788884509
549	3.7886778
550	3.788328756
551	3.786703653
552	3.786006915
553	3.785637771
554	3.785270899
555	3.784790301
556	3.784432927
557	3.784023598
558	3.783584468
559	3.782789535
560	3.782511841
561	3.781775186
562	3.781244611
563	3.780833766
564	3.779111464
565	3.778781543
566	3.778397622
567	3.778111358
568	3.777704723
569	3.777417898
570	3.777110416
571	3.776683587
572	3.776251643
573	3.77575865
574	3.775247107
575	3.77482363
576	3.774315571
577	3.773834055
578	3.773444936
579	3.772929737
580	3.772552266
581	3.77218954
582	3.771833321
583	3.771349169
584	3.770794651
585	3.769712189
586	3.769183497
587	3.768621092
588	3.768182394
589	3.767626367
590	3.767339497
591	3.767048061
592	3.766701861
593	3.766170615
594	3.765718837
595	3.765119887
596	3.764860047
597	3.764537004
598	3.764281161
599	3.763882524
600	3.763267591
601	3.762731888
602	3.762391828
603	3.761901483
604	3.760463667
605	3.760140651
606	3.759584827
607	3.759310092
608	3.758902685
609	3.757903742
610	3.757608613
611	3.757027163
612	3.756835178
613	3.756499716
614	3.755897235
615	3.755653623
616	3.755269381
617	3.754723959
618	3.754036193
619	3.753592047
620	3.753212233
621	3.752808033
622	3.75255784
623	3.752245287
624	3.751670254
625	3.751403344
626	3.7506569
627	3.750367548
628	3.749955204
629	3.749413473
630	3.749093731
631	3.748694343
632	3.748454145
633	3.74817775
634	3.747397235
635	3.747054964
636	3.746302363
637	3.746085794
638	3.745748172
639	3.745329182
640	3.744753699
641	3.744339096
642	3.743995383
643	3.743617391
644	3.743157672
645	3.742799328
646	3.74234223
647	3.741765714
648	3.741100527
649	3.739438388
650	3.739023562
651	3.738829311
652	3.738587444
653	3.738385012
654	3.737943615
655	3.737543679
656	3.737209215
657	3.736651115
658	3.736171546
659	3.735914653
660	3.735579639
661	3.735209303
662	3.734784421
663	3.734351299
664	3.733530629
665	3.733222871
666	3.73276909
667	3.73252345
668	3.732012433
669	3.731498666
670	3.731157802
671	3.730855125
672	3.730443243
673	3.729999065
674	3.729732183
675	3.729347976
676	3.72889329
677	3.728533344
678	3.728144819
679	3.727769601
680	3.727364618
681	3.727066496
682	3.726818704
683	3.726292221
684	3.72573332
685	3.72487972
686	3.724252723
687	3.72392509
688	3.723574798
689	3.723205086
690	3.722693989
691	3.722436126
692	3.721829267
693	3.721549112
694	3.721207019
695	3.720891543
696	3.720565022
697	3.720346158
698	3.720018856
699	3.71976123
700	3.719243175
701	3.718900608
702	3.718516983
703	3.718024947
704	3.717263443
705	3.716904521
706	3.716653096
707	3.715906608
708	3.715674933
709	3.715320708
710	3.71488021
711	3.714584717
712	3.713542276
713	3.713080978
714	3.712402571
715	3.712060397
716	3.711802703
717	3.711368869
718	3.711052986
719	3.710577621
720	3.709716157
721	3.709375871
722	3.708919834
723	3.708516245
724	3.708313901
725	3.708010972
726	3.707482086
727	3.707188413
728	3.706862527
729	3.706465744
730	3.706237434
731	3.705876114
732	3.705506868
733	3.704999508
734	3.704718429
735	3.704473424
736	3.704156959
737	3.703792882
738	3.703475335
739	3.702886797
740	3.702589181
741	3.701982503
742	3.701628216
743	3.701103123
744	3.700750679
745	3.700358781
746	3.699909481
747	3.699328038
748	3.698906321
749	3.698508543
750	3.697993556
751	3.697605323
752	3.697446921
753	3.69686612
754	3.696393692
755	3.696064882
756	3.69571446
757	3.695232547
758	3.693859658
759	3.69351045
760	3.693143126
761	3.692589314
762	3.692109391
763	3.691869709
764	3.691148875
765	3.690801762
766	3.690550924
767	3.690134014
768	3.689791651
769	3.68936755
770	3.689019666
771	3.688718381
772	3.688090187
773	3.687379739
774	3.687064339
775	3.686730152
776	3.686034853
777	3.685839492
778	3.685680385
779	3.685474354
780	3.685015657
781	3.684528349
782	3.684113183
783	3.683615362
784	3.68327561
785	3.683036827
786	3.682694797
787	3.682355511
788	3.68190366
789	3.681619711
790	3.680980117
791	3.680515919
792	3.680157092
793	3.67998164
794	3.679444383
795	3.679243651
796	3.678931093
797	3.678742043
798	3.678433452
799	3.678073731
800	3.677577369
801	3.677129548
802	3.676776226
803	3.676415142
804	3.676243369
805	3.67593431
806	3.675447736
807	3.675270334
808	3.674644981
809	3.673961362
810	3.673727893
811	3.673491778
812	3.673120846
813	3.672875836
814	3.672600459
815	3.67223688
816	3.671250921
817	3.670584917
818	3.670354526
819	3.669427872
820	3.669054282
821	3.668730238
822	3.66837859
823	3.6679028
824	3.667627625
825	3.66728557
826	3.666715807
827	3.666390978
828	3.665954587
829	3.665561398
830	3.665321728
831	3.664748976
832	3.664395816
833	3.664153013
834	3.663969211
835	3.663555499
836	3.663210827
837	3.662922355
838	3.662537873
839	3.66225988
840	3.66193122
841	3.661602124
842	3.661432917
843	3.661093245
844	3.660681029
845	3.660345474
846	3.660045119
847	3.659743709
848	3.65948547
849	3.659265638
850	3.659032357
851	3.658804524
852	3.658396311
853	3.65810398
854	3.657917028
855	3.657626177
856	3.657247794
857	3.657056503
858	3.656561153
859	3.656265066
860	3.655982973
861	3.655720581
862	3.655440122
863	3.655063328
864	3.654534707
865	3.654030914
866	3.653705533
867	3.653364385
868	3.653095996
869	3.65274334
870	3.652441576
871	3.652165454
872	3.651933844
873	3.651720378
874	3.651358569
875	3.651081771
876	3.65077936
877	3.650663831
878	3.650439335
879	3.650265219
880	3.649879364
881	3.649527938
882	3.649178831
883	3.64902713
884	3.648684509
885	3.648461829
886	3.648216216
887	3.648037965
888	3.647767988
889	3.647434211
890	3.646946128
891	3.646533166
892	3.646244257
893	3.64591861
894	3.645545856
895	3.645241575
896	3.644925497
897	3.64476482
898	3.644436832
899	3.64403003
900	3.643769956
901	3.643377
902	3.642997866
903	3.642749855
904	3.642509403
905	3.642234328
906	3.641957001
907	3.641503124
908	3.641239278
909	3.640979176
910	3.640629526
911	3.640293813
912	3.639923801
913	3.6397176
914	3.639491775
915	3.639227815
916	3.638952042
917	3.638641627
918	3.638168929
919	3.637792538
920	3.637526185
921	3.637257764
922	3.636841371
923	3.636617264
924	3.636359291
925	3.636192747
926	3.635848979
927	3.635676305
928	3.635353548
929	3.635076381
930	3.634780364
931	3.634528597
932	3.634227168
933	3.633853259
934	3.633477984
935	3.633332991
936	3.633060872
937	3.632575124
938	3.632104794
939	3.631732278
940	3.631485715
941	3.631003961
942	3.630659856
943	3.630282429
944	3.629602385
945	3.629312446
946	3.629010512
947	3.628694205
948	3.628428137
949	3.628109781
950	3.627854703
951	3.627575357
952	3.627152284
953	3.626703414
954	3.626459703
955	3.626253667
956	3.625772068
957	3.625477645
958	3.625171764
959	3.624848041
960	3.624559511
961	3.624194536
962	3.623847928
963	3.623428821
964	3.623087974
965	3.622772
966	3.622319911
967	3.621177691
968	3.62094934
969	3.620561023
970	3.620206909
971	3.619781247
972	3.619473339
973	3.618915364
974	3.618658607
975	3.618438219
976	3.618211868
977	3.617765663
978	3.617448493
979	3.61688855
980	3.61644527
981	3.616138666
982	3.615814969
983	3.61545076
984	3.615091472
985	3.614843298
986	3.614518475
987	3.614075062
988	3.613535414
989	3.613213653
990	3.613012721
991	3.6125846
992	3.612070585
993	3.611702495
994	3.611471142
995	3.611285749
996	3.610957718
997	3.610627393
998	3.61041616
999	3.609899076
